                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3418,                 4.3213,                 4.1403,                0.00111,                    0.5,                0.03421,                0.01652,                 4.4301,                 4.7361,                 4.1375,             0.00046641,             0.00046641,             0.00046641
                      1,                 3.0878,                 3.4806,                 3.5322,                0.61259,                0.30844,                0.10173,                0.03147,                 4.3445,                 4.3572,                 3.7467,             0.00091163,             0.00091163,             0.00091163
                      2,                 2.7064,                  2.936,                 3.0947,                0.43412,                0.56521,                0.28542,                0.13303,                 2.5092,                  3.165,                 2.7855,              0.0013254,              0.0013254,              0.0013254
                      3,                 2.4326,                 2.5256,                 2.8272,                0.35646,                0.33021,                0.36607,                0.14419,                 2.2746,                 2.8163,                 3.3376,              0.0012875,              0.0012875,              0.0012875
                      4,                 2.2205,                  2.177,                 2.5771,                0.39248,                0.50817,                0.42569,                0.19352,                 1.8106,                 2.0329,                 2.5749,              0.0012875,              0.0012875,              0.0012875
                      5,                 2.1449,                 1.9464,                 2.4431,                0.64598,                0.82115,                0.81044,                0.36524,                 1.7461,                  1.491,                  2.414,              0.0012404,              0.0012404,              0.0012404
                      6,                 2.0241,                 1.8253,                 2.3443,                0.67293,                0.77826,                0.79671,                0.42612,                 1.6851,                 1.3882,                 2.3013,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.9184,                  1.653,                  2.227,                0.77566,                0.70295,                0.81407,                0.39455,                 1.9228,                 1.3655,                 2.3625,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.8322,                 1.5422,                 2.1304,                0.91014,                  0.924,                0.94698,                0.53183,                 1.6176,                 1.1814,                 2.1144,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.7862,                 1.4623,                   2.07,                0.92859,                0.81873,                0.92516,                0.55542,                 1.4108,                 1.0938,                 1.9599,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.6834,                 1.3272,                 1.9826,                0.91083,                0.88145,                0.93347,                0.54172,                 1.4376,                 1.1209,                 1.9778,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.6256,                 1.2886,                 1.9196,                0.91398,                 0.8674,                 0.9281,                0.50832,                 1.5297,                  1.046,                 2.0101,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.6352,                 1.2653,                 1.8819,                0.87731,                0.92314,                0.96508,                0.56436,                 1.4313,                 1.0695,                 1.9649,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.6168,                 1.2819,                 1.8877,                0.77767,                0.94151,                0.94382,                 0.5292,                 1.4074,                 1.2231,                 1.8527,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.5548,                 1.2008,                 1.8384,                0.86917,                0.89499,                0.90986,                0.55016,                 1.3617,                  1.055,                 1.8266,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.5448,                 1.1863,                  1.815,                0.91502,                 0.8936,                0.94723,                 0.5926,                 1.3957,                0.87071,                 1.8354,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.4947,                 1.1125,                 1.7554,                0.93067,                0.93816,                0.94779,                0.56095,                  1.416,                0.88261,                 1.8585,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.4673,                 1.0785,                 1.7347,                0.91727,                 0.9553,                0.96695,                0.58792,                 1.3101,                0.89913,                 1.7541,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.4264,                 1.0611,                 1.6755,                0.96543,                 0.9503,                0.96904,                0.62082,                 1.2714,                0.81958,                 1.7307,             0.00062733,             0.00062733,             0.00062733
                     19,                 1.3914,                 1.0278,                 1.6892,                0.95925,                0.96131,                 0.9743,                0.64126,                 1.2562,                0.78381,                 1.7139,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.3029,                 1.0497,                 1.7187,                0.95985,                0.93869,                0.97135,                0.65156,                 1.2313,                0.78619,                 1.6821,             0.00053302,             0.00053302,             0.00053302
                     21,                 1.2369,                0.92025,                 1.6263,                0.98766,                0.95939,                0.97754,                0.66523,                 1.2161,                0.72046,                 1.6204,             0.00048586,             0.00048586,             0.00048586
                     22,                 1.1859,                0.85518,                   1.62,                0.94949,                0.95969,                0.97673,                0.68547,                 1.1474,                0.69056,                 1.5567,              0.0004387,              0.0004387,              0.0004387
                     23,                 1.1577,                 0.8345,                 1.5569,                0.97924,                0.96675,                0.97947,                0.69714,                 1.1289,                0.66385,                 1.5445,             0.00039155,             0.00039155,             0.00039155
                     24,                 1.1378,                0.80012,                 1.5361,                 0.9883,                0.97159,                0.97917,                0.69267,                 1.1206,                0.67439,                 1.5286,             0.00034439,             0.00034439,             0.00034439
                     25,                 1.1137,                0.80234,                 1.5193,                0.94694,                0.96943,                0.97846,                0.68025,                 1.1749,                0.68903,                 1.5625,             0.00029723,             0.00029723,             0.00029723
                     26,                 1.1057,                0.78038,                  1.499,                0.98392,                0.96686,                0.98024,                   0.69,                 1.1563,                0.62426,                 1.5445,             0.00025007,             0.00025007,             0.00025007
                     27,                 1.0549,                0.73236,                 1.4755,                0.98297,                0.96985,                0.98131,                0.71021,                 1.1175,                0.62011,                 1.4961,             0.00020292,             0.00020292,             0.00020292
                     28,                 1.0687,                0.74888,                 1.4733,                0.98411,                0.96858,                0.98126,                0.71039,                 1.0857,                0.60895,                 1.4745,             0.00015576,             0.00015576,             0.00015576
                     29,                 1.0272,                0.71439,                 1.4335,                0.98792,                0.97153,                0.98257,                0.71647,                 1.0595,                0.59515,                 1.4507,              0.0001086,              0.0001086,              0.0001086
